dataset,baseline,perturbation,class,pearson_r,l2,split_type,baseline_type,class_name
k562,lpm_selftrained,CPSF6,Transcription,0.4822791137490927,7.373284056765984,functional_class_holdout,,
k562,lpm_selftrained,CRNKL1,Transcription,0.7435477297065278,3.3922786238006295,functional_class_holdout,,
k562,lpm_selftrained,CSTF1,Transcription,0.6289281230893151,3.7850528868680793,functional_class_holdout,,
k562,lpm_selftrained,CSTF3,Transcription,0.4385209751064489,6.013484177379488,functional_class_holdout,,
k562,lpm_selftrained,CTDP1,Transcription,0.6812529828350014,3.550803003933638,functional_class_holdout,,
k562,lpm_selftrained,CTNNBL1,Transcription,0.4065781947322571,4.955113888521281,functional_class_holdout,,
k562,lpm_selftrained,CTR9,Transcription,0.6567286699429535,8.346122132105192,functional_class_holdout,,
k562,lpm_selftrained,CWC15,Transcription,0.844747005651885,5.313487230265826,functional_class_holdout,,
k562,lpm_selftrained,CWC22,Transcription,0.5859326822035389,6.333361152178766,functional_class_holdout,,
k562,lpm_selftrained,CXXC1,Transcription,0.6306099429625576,4.398691942545538,functional_class_holdout,,
k562,lpm_selftrained,DBR1,Transcription,0.418368554976273,5.240141427339727,functional_class_holdout,,
k562,lpm_selftrained,DDX10,Transcription,0.7719836188537568,3.439288941111782,functional_class_holdout,,
k562,lpm_selftrained,DDX18,Transcription,0.9215940084950158,3.77611620430266,functional_class_holdout,,
k562,lpm_selftrained,DDX21,Transcription,0.6658011832098104,4.158672100525443,functional_class_holdout,,
k562,lpm_selftrained,DDX23,Transcription,0.8095425001539325,4.017940507949964,functional_class_holdout,,
k562,lpm_selftrained,DDX27,Transcription,0.6854043496278597,4.452203343791611,functional_class_holdout,,
k562,lpm_selftrained,DDX41,Transcription,0.8231306938545537,6.213112743225938,functional_class_holdout,,
k562,lpm_selftrained,DDX46,Transcription,0.690797188930545,4.239898674070828,functional_class_holdout,,
k562,lpm_selftrained,DDX47,Transcription,0.9657482525738524,3.234829049675128,functional_class_holdout,,
k562,lpm_selftrained,DDX49,Transcription,0.4587710701464904,4.580522440876677,functional_class_holdout,,
k562,lpm_selftrained,DDX5,Transcription,0.3020549295331085,3.5020680468103897,functional_class_holdout,,
k562,lpm_selftrained,DDX51,Transcription,0.7598270637743102,2.8343636639881273,functional_class_holdout,,
k562,lpm_selftrained,DDX52,Transcription,0.8146223092775675,3.2219087081047517,functional_class_holdout,,
k562,lpm_selftrained,DDX54,Transcription,0.7130235733596934,3.5056028993809423,functional_class_holdout,,
k562,lpm_selftrained,DDX55,Transcription,0.7007274227935463,2.485858346685337,functional_class_holdout,,
k562,lpm_selftrained,DDX56,Transcription,0.916404849283352,2.710464859874711,functional_class_holdout,,
k562,lpm_selftrained,DHX16,Transcription,0.8096993879057734,4.777758277295876,functional_class_holdout,,
k562,lpm_selftrained,DHX36,Transcription,0.5551180113550623,3.131905492360298,functional_class_holdout,,
k562,lpm_selftrained,DICER1,Transcription,0.4110737990871337,2.972322080631019,functional_class_holdout,,
k562,lpm_selftrained,DIMT1,Transcription,0.8325986818557591,3.5335141786616604,functional_class_holdout,,
k562,lpm_selftrained,DIS3,Transcription,0.4510654176978904,7.842036090709728,functional_class_holdout,,
k562,lpm_selftrained,DKC1,Transcription,0.4816858156915723,4.736974664639793,functional_class_holdout,,
k562,lpm_selftrained,DMAP1,Transcription,0.6794134156929366,6.5495121579439175,functional_class_holdout,,
k562,lpm_selftrained,DNAJC17,Transcription,0.7162498161078472,6.594099324689685,functional_class_holdout,,
k562,lpm_selftrained,DNMT1,Transcription,0.2366382870731082,3.2253545194789344,functional_class_holdout,,
