dataset,baseline,test_perturbation,top_pct,local_train_size,local_mean_similarity,local_max_similarity,local_min_similarity,performance_local_pearson_r,performance_local_l2,performance_baseline_pearson_r,performance_baseline_l2,improvement_pearson_r,improvement_l2,baseline_type,pearson_r,l2,hardness,embedding_similarity,split_fraction
k562,lpm_k562PertEmb,WBP11,0.1,77,0.9966847896575928,0.9993153214454652,0.9945560693740844,0.8125613023655788,3.48052660386765,0.8058625776890841,3.4290647616992187,0.0066987246764946,-0.0514618421684311,lpm_k562PertEmb,0.8125613023655788,3.48052660386765,0.9966847896575928,0.9966847896575928,0.1006535947712418
k562,lpm_k562PertEmb,MCM10,0.01,8,0.9991298913955688,0.999773383140564,0.998469889163971,0.7843210998060814,3.738947714634188,0.8485895651177242,3.0126081623375316,-0.0642684653116427,-0.7263395522966563,lpm_k562PertEmb,0.7843210998060814,3.738947714634188,0.9991298913955688,0.9991298913955688,0.0104575163398692
k562,lpm_k562PertEmb,MCM10,0.05,39,0.997422456741333,0.999773383140564,0.9955834150314332,0.884655475961491,2.561065745184781,0.8485895651177242,3.0126081623375316,0.0360659108437667,0.4515424171527504,lpm_k562PertEmb,0.884655475961491,2.561065745184781,0.997422456741333,0.997422456741333,0.0509803921568627
k562,lpm_k562PertEmb,MCM10,0.1,77,0.995667576789856,0.999773383140564,0.9925088882446288,0.8904493536567181,2.5731899803042295,0.8485895651177242,3.0126081623375316,0.0418597885389938,0.4394181820333021,lpm_k562PertEmb,0.8904493536567181,2.5731899803042295,0.995667576789856,0.995667576789856,0.1006535947712418
k562,lpm_k562PertEmb,DERL2,0.01,8,0.9995505809783936,0.9999000430107116,0.9993009567260742,0.5217446744147779,3.658321156443025,0.5800528546798538,3.3820818341368315,-0.0583081802650758,-0.2762393223061936,lpm_k562PertEmb,0.5217446744147779,3.658321156443025,0.9995505809783936,0.9995505809783936,0.0104575163398692
k562,lpm_k562PertEmb,DERL2,0.05,39,0.9991483688354492,0.9999000430107116,0.9988266229629515,0.5308358965832408,3.532577659356926,0.5800528546798538,3.3820818341368315,-0.0492169580966129,-0.1504958252200943,lpm_k562PertEmb,0.5308358965832408,3.532577659356926,0.9991483688354492,0.9991483688354492,0.0509803921568627
k562,lpm_k562PertEmb,DERL2,0.1,77,0.9988760948181152,0.9999000430107116,0.9984228610992432,0.5238396202748772,3.5395981988447307,0.5800528546798538,3.3820818341368315,-0.0562132344049766,-0.1575163647078992,lpm_k562PertEmb,0.5238396202748772,3.5395981988447307,0.9988760948181152,0.9988760948181152,0.1006535947712418
k562,lpm_k562PertEmb,MED21,0.01,8,0.9992622137069702,0.9998061656951904,0.99887615442276,0.8852736723162742,5.021763855650215,0.871881024762334,5.330366426551774,0.0133926475539402,0.3086025709015594,lpm_k562PertEmb,0.8852736723162742,5.021763855650215,0.9992622137069702,0.9992622137069702,0.0104575163398692
k562,lpm_k562PertEmb,MED21,0.05,39,0.9932281374931335,0.9998061656951904,0.98758065700531,0.8938661455952321,4.862723770059618,0.871881024762334,5.330366426551774,0.0219851208328981,0.4676426564921563,lpm_k562PertEmb,0.8938661455952321,4.862723770059618,0.9932281374931335,0.9932281374931335,0.0509803921568627
k562,lpm_k562PertEmb,MED21,0.1,77,0.9892102479934692,0.9998061656951904,0.9833800196647644,0.895549866355825,4.838877440127309,0.871881024762334,5.330366426551774,0.023668841593491,0.4914889864244651,lpm_k562PertEmb,0.895549866355825,4.838877440127309,0.9892102479934692,0.9892102479934692,0.1006535947712418
k562,lpm_k562PertEmb,HAUS4,0.01,8,0.999586820602417,0.9997340440750122,0.9993521571159364,0.6481298227568434,3.0718986359471616,0.6046486754163714,3.292563962029589,0.043481147340472,0.2206653260824271,lpm_k562PertEmb,0.6481298227568434,3.0718986359471616,0.999586820602417,0.999586820602417,0.0104575163398692
k562,lpm_k562PertEmb,HAUS4,0.05,39,0.9990817308425904,0.9997340440750122,0.9986653923988342,0.6607281761496548,2.984592170255572,0.6046486754163714,3.292563962029589,0.0560795007332834,0.3079717917740168,lpm_k562PertEmb,0.6607281761496548,2.984592170255572,0.9990817308425904,0.9990817308425904,0.0509803921568627
k562,lpm_k562PertEmb,HAUS4,0.1,77,0.9987882375717164,0.9997340440750122,0.9982861280441284,0.6952940967017325,2.8768668310448406,0.6046486754163714,3.292563962029589,0.0906454212853611,0.4156971309847481,lpm_k562PertEmb,0.6952940967017325,2.8768668310448406,0.9987882375717164,0.9987882375717164,0.1006535947712418
k562,lpm_k562PertEmb,RUVBL1,0.01,8,0.9969730377197266,0.9985856413841248,0.9958710074424744,0.8202278188691192,5.964543776976052,0.8679775621683293,5.023114468062477,-0.0477497432992101,-0.941429308913575,lpm_k562PertEmb,0.8202278188691192,5.964543776976052,0.9969730377197266,0.9969730377197266,0.0104575163398692
k562,lpm_k562PertEmb,RUVBL1,0.05,39,0.993356466293335,0.9985856413841248,0.9895292520523072,0.8269862109454035,5.9370946329475185,0.8679775621683293,5.023114468062477,-0.0409913512229258,-0.9139801648850412,lpm_k562PertEmb,0.8269862109454035,5.9370946329475185,0.993356466293335,0.993356466293335,0.0509803921568627
k562,lpm_k562PertEmb,RUVBL1,0.1,77,0.99044531583786,0.9985856413841248,0.9855976700782776,0.8583645845076276,5.267804269341324,0.8679775621683293,5.023114468062477,-0.0096129776607016,-0.2446898012788469,lpm_k562PertEmb,0.8583645845076276,5.267804269341324,0.99044531583786,0.99044531583786,0.1006535947712418
k562,lpm_k562PertEmb,RCL1,0.01,8,0.9997430443763732,0.9999076724052428,0.9995879530906676,0.832200614105304,3.367552920297838,0.8664651795558279,3.558449740803463,-0.0342645654505239,0.190896820505626,lpm_k562PertEmb,0.832200614105304,3.367552920297838,0.9997430443763732,0.9997430443763732,0.0104575163398692
k562,lpm_k562PertEmb,RCL1,0.05,39,0.9987751841545104,0.9999076724052428,0.9973527789115906,0.8504904518900308,3.1752085203367426,0.8664651795558279,3.558449740803463,-0.0159747276657971,0.3832412204667208,lpm_k562PertEmb,0.8504904518900308,3.1752085203367426,0.9987751841545104,0.9987751841545104,0.0509803921568627
k562,lpm_k562PertEmb,RCL1,0.1,77,0.9961908459663392,0.9999076724052428,0.9894400238990784,0.8581553668409836,3.0920068962281544,0.8664651795558279,3.558449740803463,-0.0083098127148443,0.466442844575309,lpm_k562PertEmb,0.8581553668409836,3.0920068962281544,0.9961908459663392,0.9961908459663392,0.1006535947712418
k562,lpm_k562PertEmb,RBBP8,0.01,8,0.9995558261871338,0.9998023509979248,0.9993746280670166,0.5300418168075363,3.138940640935072,0.5987346481848494,2.8331073053711746,-0.0686928313773131,-0.3058333355638973,lpm_k562PertEmb,0.5300418168075363,3.138940640935072,0.9995558261871338,0.9995558261871338,0.0104575163398692
k562,lpm_k562PertEmb,RBBP8,0.05,39,0.998972475528717,0.9998023509979248,0.998116135597229,0.6270864394444617,2.7472340619199485,0.5987346481848494,2.8331073053711746,0.0283517912596122,0.0858732434512261,lpm_k562PertEmb,0.6270864394444617,2.7472340619199485,0.998972475528717,0.998972475528717,0.0509803921568627
k562,lpm_k562PertEmb,RBBP8,0.1,77,0.9984281659126282,0.9998023509979248,0.9975886940956116,0.6334514752535081,2.7703290582878366,0.5987346481848494,2.8331073053711746,0.0347168270686586,0.062778247083338,lpm_k562PertEmb,0.6334514752535081,2.7703290582878366,0.9984281659126282,0.9984281659126282,0.1006535947712418
k562,lpm_k562PertEmb,RPL4,0.01,8,0.9997534155845642,0.9999260306358336,0.9996650815010072,0.9656130619527724,2.2820130825739433,0.9555287594802075,3.859890533722864,0.0100843024725646,1.5778774511489209,lpm_k562PertEmb,0.9656130619527724,2.2820130825739433,0.9997534155845642,0.9997534155845642,0.0104575163398692
